1	1.0	1.0	2.0	['C2', 'G2']	['P5']	[0, 5]	[7, 0]
1	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']	['P5', 'P12', 'P15', 'M17', 'P19', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
1	2.5	0.25	1.0	['G3', 'C4', 'E4']	['P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
2	1.0	1.0	2.0	['C2', 'G2']	['P5']	[0, 5]	[7, 0]
2	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']	['P5', 'P12', 'P15', 'M17', 'P19', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
2	2.5	0.25	1.0	['G3', 'C4', 'E4']	['P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
3	1.0	1.0	2.0	['C2', 'G2']	['P5']	[0, 5]	[7, 0]
3	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']	['P5', 'P12', 'P15', 'M17', 'P19', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
3	2.5	0.25	1.0	['G3', 'C4', 'E4']	['P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
4	1.0	1.0	2.0	['C2', 'G2']	['P5']	[0, 5]	[7, 0]
4	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']	['P5', 'P12', 'P15', 'M17', 'P19', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
4	2.5	0.25	1.0	['G3', 'C4', 'E4']	['P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
5	1.0	1.0	2.0	['C2', 'G2', 'G5']	['P5', 'P26', 'P22']	[0, 5]	[7, 0]
5	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'G5']	['P5', 'P12', 'P15', 'M17', 'P19', 'P26', 'P8', 'P11', 'M13', 'P22', 'P4', 'M6', 'M3', 'm3', 'm10']	[0, 3, 7]	[0, 4, 7]
5	2.5	0.25	1.0	['G3', 'C4', 'E4', 'G5']	['P4', 'M6', 'P15', 'M3', 'P12', 'm10']	[0, 3, 7]	[0, 4, 7]
6	1.0	1.0	1.0	['C2', 'G2', 'E5']	['P5', 'M24', 'M20']	[0, 3, 7]	[0, 4, 7]
6	1.5	0.25	0.5	['C2', 'G2', 'D5']	['P5', 'M23', 'P19']	[0, 2, 7]	[0, 2, 7]
6	1.75	0.125	0.5	['C2', 'G2', 'E5']	['P5', 'M24', 'M20']	[0, 3, 7]	[0, 4, 7]
6	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'C5']	['P5', 'P12', 'P15', 'M17', 'P19', 'P22', 'P8', 'P11', 'M13', 'P18', 'P4', 'M6', 'M3', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
6	2.5	0.25	0.5	['G3', 'C4', 'E4', 'G4']	['P4', 'M6', 'P8', 'M3', 'P5', 'm3']	[0, 3, 7]	[0, 4, 7]
6	2.75	0.125	0.5	['G3', 'C4', 'E4', 'A4']	['P4', 'M6', 'M9', 'M3']	[0, 3, 5, 8]	[4, 7, 9, 0]
7	1.0	1.0	1.0	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
7	1.5	0.25	0.5	['C2', 'G2', 'G4']	['P5', 'P19', 'P15']	[0, 5]	[7, 0]
7	1.75	0.125	0.5	['C2', 'G2', 'A4']	['P5', 'M20', 'M16']	[0, 2, 5]	[7, 9, 0]
7	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'C5']	['P5', 'P12', 'P15', 'M17', 'P19', 'P22', 'P8', 'P11', 'M13', 'P18', 'P4', 'M6', 'M3', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
7	2.5	0.25	1.0	['G3', 'C4', 'E4', 'E5']	['P4', 'M6', 'M13', 'M3', 'M10', 'P8']	[0, 3, 7]	[0, 4, 7]
8	1.0	1.0	2.0	['D2', 'D3', 'B4', 'F5', 'A5']	['P8', 'M20', 'm24', 'P26', 'M13', 'm17', 'P19', 'd5', 'm7', 'M3']	[0, 2, 5, 8]	[9, 11, 2, 5]
