1	1.0	1.0	3.0				
1	4.0	0.25	1.0	['F4']	[]	[0]	[5]
2	1.0	1.0	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
2	2.0	0.25	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
2	3.0	0.5	1.0	['F4', 'B-4', 'D5', 'F5', 'B-5', 'D6']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[10, 2, 5]
2	4.0	0.25	1.0	['F4', 'B-4', 'D5', 'F5', 'B-5', 'D6']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[10, 2, 5]
3	1.0	1.0	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
3	2.0	0.25	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
3	3.0	0.5	1.0	['D4', 'F4', 'A4', 'D5', 'F5', 'A5', 'D6']	['m3', 'P5', 'P8', 'm10', 'P12', 'P15', 'M3', 'M6', 'M10', 'M13', 'P4', 'm6', 'P11']	[0, 3, 7]	[2, 5, 9]
3	4.0	0.25	0.5	['D4', 'F4', 'A4', 'D5', 'F5', 'A5', 'D6']	['m3', 'P5', 'P8', 'm10', 'P12', 'P15', 'M3', 'M6', 'M10', 'M13', 'P4', 'm6', 'P11']	[0, 3, 7]	[2, 5, 9]
3	4.5	0.125	0.5	['D4', 'G4', 'A4', 'D5', 'F5', 'A5', 'D6']	['P4', 'P5', 'P8', 'm10', 'P12', 'P15', 'M2', 'm7', 'M9', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 2, 4, 7]	[2, 5, 7, 9]
4	1.0	1.0	1.0	['C4', 'A4', 'C5', 'F5', 'A5', 'F6']	['M6', 'P8', 'P11', 'M13', 'P18', 'm3', 'm6', 'm13', 'P4', 'M3']	[0, 3, 7]	[5, 9, 0]
4	2.0	0.25	1.0	['C4', 'A4', 'C5', 'F5', 'A5', 'F6']	['M6', 'P8', 'P11', 'M13', 'P18', 'm3', 'm6', 'm13', 'P4', 'M3']	[0, 3, 7]	[5, 9, 0]
4	3.0	0.5	1.0	['C4', 'A4', 'C5', 'F5', 'A5', 'F6']	['M6', 'P8', 'P11', 'M13', 'P18', 'm3', 'm6', 'm13', 'P4', 'M3']	[0, 3, 7]	[5, 9, 0]
4	4.0	0.25	0.5	['C4', 'G4', 'A4', 'C5', 'F5', 'A5', 'F6']	['P5', 'M6', 'P8', 'P11', 'M13', 'P18', 'M2', 'P4', 'm7', 'M9', 'm14', 'm3', 'm6', 'm13', 'M3']	[0, 2, 4, 7]	[5, 7, 9, 0]
4	4.5	0.125	0.5	['C4', 'F4', 'A4', 'C5', 'F5', 'A5', 'F6']	['P4', 'M6', 'P8', 'P11', 'M13', 'P18', 'M3', 'P5', 'M10', 'P15', 'm3', 'm6', 'm13']	[0, 3, 7]	[5, 9, 0]
5	1.0	1.0	2.0	['C4', 'G4', 'C5', 'E5', 'B-5', 'C6']	['P5', 'P8', 'M10', 'm14', 'P15', 'P4', 'M6', 'm10', 'P11', 'M3', 'm7', 'd5', 'm6', 'M2']	[0, 2, 5, 8]	[4, 7, 10, 0]
5	3.0	0.5	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
5	4.0	0.25	1.0	['F4', 'A4', 'C5']	['M3', 'P5', 'm3']	[0, 3, 7]	[5, 9, 0]
6	1.0	1.0	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
6	2.0	0.25	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
6	3.0	0.5	1.0	['F4', 'B-4', 'D5', 'F5', 'B-5', 'D6']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[10, 2, 5]
6	4.0	0.25	1.0	['F4', 'B-4', 'D5', 'F5', 'B-5', 'D6']	['P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[10, 2, 5]
7	1.0	1.0	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
7	2.0	0.25	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6']	['M3', 'P5', 'P8', 'M10', 'P12', 'm3', 'm6', 'm10', 'P4', 'M6']	[0, 3, 7]	[5, 9, 0]
7	3.0	0.5	1.0	['D4', 'F4', 'A4', 'D5', 'F5', 'A5', 'D6']	['m3', 'P5', 'P8', 'm10', 'P12', 'P15', 'M3', 'M6', 'M10', 'M13', 'P4', 'm6', 'P11']	[0, 3, 7]	[2, 5, 9]
7	4.0	0.25	0.5	['D4', 'G4', 'A4', 'D5', 'F5', 'A5', 'D6']	['P4', 'P5', 'P8', 'm10', 'P12', 'P15', 'M2', 'm7', 'M9', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 2, 4, 7]	[2, 5, 7, 9]
7	4.5	0.125	0.5	['D4', 'A4', 'D5', 'F5', 'A5', 'D6']	['P5', 'P8', 'm10', 'P12', 'P15', 'P4', 'm6', 'P11', 'm3', 'M3', 'M6']	[0, 3, 7]	[2, 5, 9]
8	1.0	1.0	1.0	['G4', 'E5', 'G5', 'C6']	['M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
8	2.0	0.25	0.5	['G4', 'C5', 'E5', 'G5', 'C6']	['P4', 'M6', 'P8', 'P11', 'M3', 'P5', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
8	2.5	0.125	0.5	['G4', 'D5', 'E5', 'G5', 'C6']	['P5', 'M6', 'P8', 'P11', 'M2', 'P4', 'm7', 'm3', 'm6']	[0, 2, 4, 7]	[0, 2, 4, 7]
8	3.0	0.5	1.0	['G4', 'E5', 'G5', 'C6']	['M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
8	4.0	0.25	1.0	['G4', 'E5', 'G5', 'C6']	['M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
9	1.0	1.0	2.0	['G4', 'D5', 'F5', 'G5', 'B5']	['P5', 'm7', 'P8', 'M10', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[11, 2, 5, 7]
9	3.0	0.5	1.0	['C4', 'G4', 'C5', 'E5', 'G5', 'C6']	['P5', 'P8', 'M10', 'P12', 'P15', 'P4', 'M6', 'P11', 'M3', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
9	4.0	0.25	1.0	['C4', 'G4', 'C5', 'E5', 'G5', 'C6']	['P5', 'P8', 'M10', 'P12', 'P15', 'P4', 'M6', 'P11', 'M3', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
10	1.0	1.0	1.0	['C4', 'G4', 'B-4', 'D5', 'F5', 'B-5', 'F6']	['P5', 'm7', 'M9', 'P11', 'm14', 'P18', 'm3', 'm10', 'M3', 'P8', 'P12', 'm6', 'P4']	[0, 2, 4, 7, 9]	[10, 0, 2, 5, 7]
10	2.0	0.25	1.0	['C4', 'G4', 'B-4', 'D5', 'F5', 'B-5', 'F6']	['P5', 'm7', 'M9', 'P11', 'm14', 'P18', 'm3', 'm10', 'M3', 'P8', 'P12', 'm6', 'P4']	[0, 2, 4, 7, 9]	[10, 0, 2, 5, 7]
10	3.0	0.5	1.0	['C4', 'G4', 'B-4', 'C5', 'E5', 'B-5', 'E6']	['P5', 'm7', 'P8', 'M10', 'm14', 'M17', 'm3', 'P4', 'M6', 'm10', 'M13', 'M2', 'A4', 'A11', 'M3', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
10	4.0	0.25	0.5	['C4', 'G4', 'B-4', 'C5', 'D5', 'E5', 'B-5', 'E6']	['P5', 'm7', 'P8', 'M9', 'M10', 'm14', 'M17', 'm3', 'P4', 'M6', 'm10', 'M13', 'M2', 'M3', 'A4', 'A11', 'm6', 'd5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
10	4.5	0.125	0.5	['C4', 'G4', 'B-4', 'C5', 'E5', 'B-5', 'E6']	['P5', 'm7', 'P8', 'M10', 'm14', 'M17', 'm3', 'P4', 'M6', 'm10', 'M13', 'M2', 'A4', 'A11', 'M3', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
11	1.0	1.0	1.0	['C4', 'G4', 'B-4', 'D5', 'F5', 'B-5', 'F6']	['P5', 'm7', 'M9', 'P11', 'm14', 'P18', 'm3', 'm10', 'M3', 'P8', 'P12', 'm6', 'P4']	[0, 2, 4, 7, 9]	[10, 0, 2, 5, 7]
11	2.0	0.25	1.0	['C4', 'G4', 'B-4', 'D5', 'F5', 'B-5', 'F6']	['P5', 'm7', 'M9', 'P11', 'm14', 'P18', 'm3', 'm10', 'M3', 'P8', 'P12', 'm6', 'P4']	[0, 2, 4, 7, 9]	[10, 0, 2, 5, 7]
11	3.0	0.5	1.0	['C4', 'G4', 'B-4', 'C5', 'E5', 'B-5', 'E6']	['P5', 'm7', 'P8', 'M10', 'm14', 'M17', 'm3', 'P4', 'M6', 'm10', 'M13', 'M2', 'A4', 'A11', 'M3', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
