1	4.0	0.25	1.0	['C5']	[]	[0]	[0]
2	1.0	1.0	1.0	['F4', 'D5']	['M6']	[0, 3]	[2, 5]
2	2.0	0.25	1.0	['F4', 'G#4']	['A2']	[0, 3]	[5, 8]
2	3.0	0.5	1.0	['E4', 'A4']	['P4']	[0, 5]	[4, 9]
2	4.0	0.25	1.0	['D4', 'B4']	['M6']	[0, 3]	[11, 2]
3	1.0	1.0	1.0	['E-4', 'C5']	['M6']	[0, 3]	[0, 3]
3	2.0	0.25	1.0	['E-4', 'F#4']	['A2']	[0, 3]	[3, 6]
3	3.0	0.5	1.0	['D4', 'G4']	['P4']	[0, 5]	[2, 7]
3	4.0	0.25	0.5	['C4', 'A4']	['M6']	[0, 3]	[9, 0]
3	4.5	0.125	0.5	['B-3', 'B-4']	['P8']	[0]	[10]
4	1.0	1.0	1.0	['A3', 'A4']	['P8']	[0]	[9]
4	2.0	0.25	1.0	['D3', 'D5']	['P15']	[0]	[2]
4	3.0	0.5	1.0	['G3', 'B-4']	['m10']	[0, 3]	[7, 10]
4	4.0	0.25	0.5	['D3', 'A4']	['P12']	[0, 5]	[9, 2]
4	4.5	0.125	0.5	['D3', 'G4']	['P11']	[0, 5]	[2, 7]
5	1.0	1.0	1.0	['D4', 'F4']	['m3']	[0, 3]	[2, 5]
5	2.0	0.25	1.0	['D4', 'G4']	['P4']	[0, 5]	[2, 7]
5	3.0	0.5	1.0	['D4', 'A4']	['P5']	[0, 5]	[9, 2]
5	4.0	0.25	1.0	['C#3', 'A4']	['m13']	[0, 4]	[9, 1]
6	1.0	1.0	1.0	['D3', 'B-4']	['m13']	[0, 4]	[10, 2]
6	2.0	0.25	1.0	['D3', 'C#4', 'B-4']	['M7', 'm13', 'd7']	[0, 1, 4]	[10, 1, 2]
6	3.0	0.5	1.0	['D3', 'D4', 'B-4']	['P8', 'm13', 'm6']	[0, 4]	[10, 2]
6	4.0	0.25	1.0	['D4', 'A4']	['P5']	[0, 5]	[9, 2]
7	1.0	1.0	1.0	['D3', 'G4']	['P11']	[0, 5]	[2, 7]
7	2.0	0.25	1.0	['D3', 'C#4', 'G4']	['M7', 'P11', 'd5']	[0, 1, 6]	[1, 2, 7]
7	3.0	0.5	1.0	['D3', 'D4', 'G4']	['P8', 'P11', 'P4']	[0, 5]	[2, 7]
7	4.0	0.25	1.0	['D4', 'F4']	['m3']	[0, 3]	[2, 5]
8	1.0	1.0	1.0	['D4', 'E4']	['M2']	[0, 2]	[2, 4]
8	2.0	0.25	1.0	['A3', 'D4', 'E4']	['P4', 'P5', 'M2']	[0, 2, 7]	[2, 4, 9]
8	3.0	0.5	1.0	['B-3', 'D4', 'E4']	['M3', 'A4', 'M2']	[0, 2, 6]	[10, 2, 4]
8	4.0	0.25	1.0	['B-3', 'D4', 'F4']	['M3', 'P5', 'm3']	[0, 3, 7]	[10, 2, 5]
9	1.0	1.0	1.0	['B-3', 'D4', 'E4']	['M3', 'A4', 'M2']	[0, 2, 6]	[10, 2, 4]
9	2.0	0.25	1.0	['F#3', 'B-3', 'D4', 'E4']	['d4', 'm6', 'm7', 'M3', 'A4', 'M2']	[0, 2, 4, 8]	[2, 4, 6, 10]
9	3.0	0.5	1.0	['G3', 'B-3', 'D4', 'E4']	['m3', 'P5', 'M6', 'M3', 'A4', 'M2']	[0, 2, 5, 8]	[2, 4, 7, 10]
9	4.0	0.25	1.0	['G3', 'B-3', 'E4', 'A4']	['m3', 'M6', 'M9', 'A4', 'M7', 'P4']	[0, 1, 3, 6]	[4, 7, 9, 10]
10	1.0	1.0	1.0	['B-4']	[]	[0]	[10]
10	2.0	0.25	1.0	['A4']	[]	[0]	[9]
10	3.0	0.5	1.0	['G4']	[]	[0]	[7]
10	4.0	0.25	1.0	['F4']	[]	[0]	[5]
11	1.0	1.0	1.5	['G3', 'D4', 'E4']	['P5', 'M6', 'M2']	[0, 2, 5]	[2, 4, 7]
11	2.5	0.125	0.5	['G3', 'D4', 'F4']	['P5', 'm7', 'm3']	[0, 2, 5]	[2, 5, 7]
11	3.0	0.5	1.0	['G3', 'D4', 'E4']	['P5', 'M6', 'M2']	[0, 2, 5]	[2, 4, 7]
11	4.0	0.25	1.0	['G#3', 'D4', 'E4']	['d5', 'm6', 'M2']	[0, 2, 6]	[2, 4, 8]
12	1.0	1.0	0.5	['D4', 'F4']	['m3']	[0, 3]	[2, 5]
12	1.5	0.125	0.5	['A3', 'F4']	['m6']	[0, 4]	[5, 9]
12	2.0	0.25	0.5	['D4', 'F4']	['m3']	[0, 3]	[2, 5]
12	2.5	0.125	0.5	['A3', 'F4']	['m6']	[0, 4]	[5, 9]
12	3.0	0.5	0.5	['D4', 'F#4']	['M3']	[0, 4]	[2, 6]
12	3.5	0.125	0.5	['A3', 'F#4']	['M6']	[0, 3]	[6, 9]
12	4.0	0.25	0.5	['D4', 'F#4']	['M3']	[0, 4]	[2, 6]
12	4.5	0.125	0.5	['A3', 'F#4']	['M6']	[0, 3]	[6, 9]
13	1.0	1.0	0.5	['D#4', 'F#4']	['m3']	[0, 3]	[3, 6]
13	1.5	0.125	0.5	['A3', 'F#4', 'G4']	['M6', 'm7', 'm2']	[0, 1, 3]	[6, 7, 9]
13	2.0	0.25	0.5	['E4', 'G4']	['m3']	[0, 3]	[4, 7]
13	2.5	0.125	0.5	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
13	3.0	0.5	0.5	['E4', 'G4']	['m3']	[0, 3]	[4, 7]
13	3.5	0.125	0.5	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
13	4.0	0.25	0.5	['E#4', 'G#4']	['m3']	[0, 3]	[5, 8]
13	4.5	0.125	0.5	['A3', 'A4']	['P8']	[0]	[9]
14	1.0	1.0	0.5	['F#4', 'A4']	['m3']	[0, 3]	[6, 9]
14	1.5	0.125	0.5	['A3', 'A4', 'B-4']	['P8', 'm9', 'm2']	[0, 1]	[9, 10]
14	2.0	0.25	0.5	['G4', 'B-4']	['m3']	[0, 3]	[7, 10]
14	2.5	0.125	0.5	['A3', 'B-4']	['m9']	[0, 1]	[9, 10]
14	3.0	0.5	0.5	['C#4', 'B-4']	['d7']	[0, 3]	[10, 1]
14	3.5	0.125	0.5	['A3', 'A4']	['P8']	[0]	[9]
14	4.0	0.25	0.5	['E4', 'G#4']	['M3']	[0, 4]	[4, 8]
14	4.5	0.125	0.5	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
15	1.0	1.0	0.5	['D4', 'G4']	['P4']	[0, 5]	[2, 7]
15	1.5	0.125	0.5	['A3', 'F#4']	['M6']	[0, 3]	[6, 9]
15	2.0	0.25	0.5	['F4', 'D5']	['M6']	[0, 3]	[2, 5]
15	2.5	0.125	0.5	['A3', 'A4']	['P8']	[0]	[9]
15	3.0	0.5	0.5	['B-3', 'G4']	['M6']	[0, 3]	[7, 10]
15	3.5	0.125	0.5	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
15	4.0	0.25	0.5	['C#4', 'F#4', 'G4', 'A4']	['P4', 'd5', 'm6', 'm2', 'm3', 'M2']	[0, 1, 3, 7]	[6, 7, 9, 1]
15	4.5	0.125	0.5	['A3', 'E4']	['P5']	[0, 5]	[4, 9]
16	1.0	1.0	0.5	['G3', 'E4']	['M6']	[0, 3]	[4, 7]
16	1.5	0.125	0.5	['A3', 'E4']	['P5']	[0, 5]	[4, 9]
16	2.0	0.25	0.5	['D2', 'F#3', 'D4']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
16	2.5	0.125	0.5	['D2', 'A3', 'D4']	['P12', 'P15', 'P4']	[0, 5]	[9, 2]
16	3.0	0.5	0.5	['D2', 'A3', 'D4']	['P12', 'P15', 'P4']	[0, 5]	[9, 2]
