1	1.0	1.0	1.0	['A4', 'A5']	['P8']	[0]	[9]
1	1.5	0.25	1.0	['A4', 'A5']	['P8']	[0]	[9]
1	2.0	0.5	1.0	['A4', 'A5']	['P8']	[0]	[9]
1	2.5	0.25	1.0	['A4', 'A5']	['P8']	[0]	[9]
2	1.0	1.0	1.0	['A4', 'A5']	['P8']	[0]	[9]
2	1.5	0.25	1.0	['A4', 'A5']	['P8']	[0]	[9]
2	2.0	0.5	1.0	['D4', 'A4', 'A5']	['P5', 'P12', 'P8']	[0, 5]	[9, 2]
2	2.5	0.25	1.0	['A3', 'A4', 'A5']	['P8', 'P15']	[0]	[9]
3	1.0	1.0	1.0	['D4', 'A4', 'A5']	['P5', 'P12', 'P8']	[0, 5]	[9, 2]
3	1.5	0.25	1.0	['E4', 'A4', 'A5']	['P4', 'P11', 'P8']	[0, 5]	[4, 9]
3	2.0	0.5	1.0	['F#4', 'A4', 'A5']	['m3', 'm10', 'P8']	[0, 3]	[6, 9]
3	2.5	0.25	1.0	['G4', 'A4', 'A5']	['M2', 'M9', 'P8']	[0, 2]	[7, 9]
4	1.0	1.0	2.0	['D2', 'A2', 'F#3', 'A4', 'D5', 'A5']	['P5', 'M10', 'P19', 'P22', 'P26', 'M6', 'P15', 'P18', 'm10', 'm13', 'm17', 'P4', 'P8']	[0, 3, 7]	[2, 6, 9]
4	2.0	0.5	1.0	['A3', 'A4', 'B4', 'B5']	['P8', 'M9', 'M16', 'M2']	[0, 2]	[9, 11]
4	2.5	0.25	0.5	['A3', 'A4', 'C#5', 'C#6']	['P8', 'M10', 'M17', 'M3']	[0, 4]	[9, 1]
4	2.75	0.125	0.5	['A3', 'A4', 'D5', 'D6']	['P8', 'P11', 'P18', 'P4']	[0, 5]	[9, 2]
5	1.0	1.0	1.0	['B3', 'A4', 'C#5', 'C#6']	['m7', 'M9', 'M16', 'M3', 'M10', 'P8']	[0, 2, 4]	[9, 11, 1]
5	1.5	0.25	1.0	['B3', 'A4', 'B4', 'B5']	['m7', 'P8', 'P15', 'M2', 'M9']	[0, 2]	[9, 11]
5	2.0	0.5	1.0	['C#4', 'A4', 'A5']	['m6', 'm13', 'P8']	[0, 4]	[9, 1]
5	2.5	0.25	1.0	['D4', 'F#4', 'A4', 'F#5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[2, 6, 9]
6	1.0	1.0	2.0	['D3', 'A3', 'B3', 'G4', 'A4', 'D5', 'G5']	['P5', 'M6', 'P11', 'P12', 'P15', 'P18', 'M2', 'm7', 'P8', 'm14', 'm6', 'm10', 'm13', 'P4']	[0, 2, 4, 7]	[7, 9, 11, 2]
6	2.0	0.5	1.0	['D4', 'A4', 'A5']	['P5', 'P12', 'P8']	[0, 5]	[9, 2]
6	2.5	0.25	0.5	['A3', 'A4', 'B4', 'B5']	['P8', 'M9', 'M16', 'M2']	[0, 2]	[9, 11]
6	2.75	0.125	0.5	['A3', 'A4', 'C#5', 'C#6']	['P8', 'M10', 'M17', 'M3']	[0, 4]	[9, 1]
7	1.0	1.0	1.0	['B3', 'A4', 'B4', 'B5']	['m7', 'P8', 'P15', 'M2', 'M9']	[0, 2]	[9, 11]
7	1.5	0.25	1.0	['B3', 'A4', 'A5']	['m7', 'm14', 'P8']	[0, 2]	[9, 11]
7	2.0	0.5	1.0	['C#4', 'G4', 'A4', 'G5']	['d5', 'm6', 'd12', 'M2', 'P8', 'm7']	[0, 2, 6]	[7, 9, 1]
7	2.5	0.25	1.0	['C#4', 'E4', 'A4', 'E5']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[9, 1, 4]
8	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'A4', 'F#5']	['P8', 'M10', 'P12', 'M17', 'M3', 'P5', 'm3', 'M6']	[0, 3, 7]	[2, 6, 9]
8	1.5	0.25	1.0	['A3', 'F#4', 'A4', 'F#5']	['M6', 'P8', 'M13', 'm3']	[0, 3]	[6, 9]
8	2.0	0.5	1.0	['B3', 'G4', 'A4', 'G5']	['m6', 'm7', 'm13', 'M2', 'P8']	[0, 2, 4]	[7, 9, 11]
8	2.5	0.25	0.5	['C#4', 'A4', 'A5']	['m6', 'm13', 'P8']	[0, 4]	[9, 1]
8	2.75	0.125	0.5	['C#4', 'A4', 'B4', 'B5']	['m6', 'm7', 'm14', 'M2', 'M9', 'P8']	[0, 2, 4]	[9, 11, 1]
9	1.0	1.0	0.5	['D4', 'A4', 'A5']	['P5', 'P12', 'P8']	[0, 5]	[9, 2]
9	1.25	0.125	0.5	['D4', 'A4', 'G5']	['P5', 'P11', 'm7']	[0, 2, 7]	[7, 9, 2]
9	1.5	0.25	0.5	['D4', 'A4', 'F#5']	['P5', 'M10', 'M6']	[0, 3, 7]	[2, 6, 9]
9	1.75	0.125	0.5	['D4', 'A4', 'E5']	['P5', 'M9']	[0, 2, 7]	[2, 4, 9]
9	2.0	0.5	0.5	['E4', 'A4', 'D5']	['P4', 'm7']	[0, 2, 7]	[2, 4, 9]
9	2.25	0.125	0.5	['E4', 'A4', 'C#5']	['P4', 'M6', 'M3']	[0, 3, 7]	[9, 1, 4]
9	2.5	0.25	0.5	['E4', 'A4', 'B4']	['P4', 'P5', 'M2']	[0, 2, 7]	[9, 11, 4]
9	2.75	0.125	0.5	['E4', 'A4']	['P4']	[0, 5]	[4, 9]
10	1.0	1.0	0.5	['F#4', 'D5']	['m6']	[0, 4]	[2, 6]
10	1.25	0.125	0.5	['F#4', 'C#5']	['P5']	[0, 5]	[1, 6]
10	1.5	0.25	0.5	['D4', 'B4']	['M6']	[0, 3]	[11, 2]
10	1.75	0.125	0.5	['D4', 'A4']	['P5']	[0, 5]	[9, 2]
10	2.0	0.5	0.5	['A3', 'G4']	['m7']	[0, 2]	[7, 9]
10	2.25	0.125	0.5	['A3', 'F#4']	['M6']	[0, 3]	[6, 9]
10	2.5	0.25	0.5	['F#3', 'E4']	['m7']	[0, 2]	[4, 6]
10	2.75	0.125	0.5	['F#3', 'D4']	['m6']	[0, 4]	[2, 6]
11	1.0	1.0	1.0	['D2', 'G#2', 'A2', 'D4', 'G4']	['A4', 'P5', 'P15', 'P18', 'm2', 'd12', 'd15', 'P11', 'm14', 'P4']	[0, 1, 2, 7]	[7, 8, 9, 2]
11	1.5	0.25	0.5	['D2', 'A2', 'B3', 'G4']	['P5', 'M13', 'P18', 'M9', 'm14', 'm6']	[0, 2, 4, 7]	[7, 9, 11, 2]
11	1.75	0.125	0.5	['D2', 'A2', 'G4']	['P5', 'P18', 'm14']	[0, 2, 7]	[7, 9, 2]
11	2.0	0.5	1.0	['D4', 'G4']	['P4']	[0, 5]	[2, 7]
11	2.5	0.25	0.5	['C#4', 'G4']	['d5']	[0, 6]	[1, 7]
11	2.75	0.125	0.5	['G4']	[]	[0]	[7]
12	1.0	1.0	0.5	['D4', 'F#4']	['M3']	[0, 4]	[2, 6]
12	1.25	0.125	0.5	['D4', 'G4']	['P4']	[0, 5]	[2, 7]
12	1.5	0.25	0.5	['A3', 'E4']	['P5']	[0, 5]	[4, 9]
12	1.75	0.125	0.5	['A3', 'F#4']	['M6']	[0, 3]	[6, 9]
12	2.0	0.5	1.0	['F#3', 'D4']	['m6']	[0, 4]	[2, 6]
12	2.5	0.25	1.0	['A3', 'F#4']	['M6']	[0, 3]	[6, 9]
13	1.0	1.0	1.0	['D3', 'G#3', 'A3', 'D4', 'G4']	['A4', 'P5', 'P8', 'P11', 'm2', 'd5', 'd8', 'P4', 'm7']	[0, 1, 2, 7]	[7, 8, 9, 2]
