1	1.0	1.0	1/6	['E3', 'E4']	['P8']	[0]	[4]
1	4/3	0.0625	1/6	['B2', 'B3']	['P8']	[0]	[11]
1	5/3	0.0625	1/6	['E3', 'E4']	['P8']	[0]	[4]
1	2.0	0.5	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
1	7/3	0.0625	1/6	['E3', 'E4']	['P8']	[0]	[4]
1	8/3	0.0625	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
1	3.0	0.5	1/6	['B3', 'B4']	['P8']	[0]	[11]
1	10/3	0.0625	1/6	['G#3', 'G#4']	['P8']	[0]	[8]
1	11/3	0.0625	1/6	['B3', 'B4']	['P8']	[0]	[11]
2	1.0	1.0	1.0	['E4', 'E5']	['P8']	[0]	[4]
2	3.0	0.5	0.5	['A#2', 'C#3', 'G#3', 'E5', 'E6']	['m3', 'm7', 'd19', 'd26', 'P5', 'm17', 'm24', 'm13', 'm20', 'P8']	[0, 2, 5, 8]	[8, 10, 1, 4]
3	1.0	1.0	0.75	['B2', 'E3', 'B3', 'G#4', 'G#5']	['P4', 'P8', 'M13', 'M20', 'P5', 'M10', 'M17', 'M6']	[0, 3, 7]	[4, 8, 11]
3	2.5	0.25	0.25	['B2', 'E3', 'B3', 'A4', 'A5']	['P4', 'P8', 'm14', 'm21', 'P5', 'P11', 'P18', 'm7']	[0, 2, 7]	[9, 11, 4]
3	3.0	0.5	0.5	['B2', 'D#3', 'A3', 'B4', 'B5']	['M3', 'm7', 'P15', 'P22', 'd5', 'm13', 'm20', 'M9', 'M16', 'P8']	[0, 2, 6]	[9, 11, 3]
4	1.0	1.0	1.0	['E2', 'B2', 'G#3', 'E4', 'E5']	['P5', 'M10', 'P15', 'P22', 'M6', 'P11', 'P18', 'm6', 'm13', 'P8']	[0, 3, 7]	[4, 8, 11]
4	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
5	1.0	1.0	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
5	4/3	0.0625	1/6	['B2', 'B3', 'B4']	['P8', 'P15']	[0]	[11]
5	5/3	0.0625	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
5	2.0	0.5	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
5	7/3	0.0625	1/6	['E3', 'E4', 'B4']	['P8', 'P12', 'P5']	[0, 5]	[11, 4]
5	8/3	0.0625	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
5	3.0	0.5	1/6	['B3', 'B4']	['P8']	[0]	[11]
5	10/3	0.0625	1/6	['G#3', 'G#4', 'B4']	['P8', 'm10', 'm3']	[0, 3]	[8, 11]
5	11/3	0.0625	1/6	['B3', 'B4']	['P8']	[0]	[11]
6	1.0	1.0	1.0	['E4', 'E5']	['P8']	[0]	[4]
6	3.0	0.5	0.5	['G#4']	[]	[0]	[8]
7	1.0	1.0	1.0	['B1', 'A3', 'D#4', 'F#4', 'B4']	['m14', 'M17', 'P19', 'P22', 'A4', 'M6', 'M9', 'm3', 'm6', 'P4']	[0, 2, 5, 8]	[3, 6, 9, 11]
7	3.0	0.5	0.5	['B1', 'A3', 'D#4', 'F#4', 'B4']	['m14', 'M17', 'P19', 'P22', 'A4', 'M6', 'M9', 'm3', 'm6', 'P4']	[0, 2, 5, 8]	[3, 6, 9, 11]
8	1.0	1.0	1.0	['E2', 'G#3', 'E4', 'G#4']	['M10', 'P15', 'M17', 'm6', 'P8', 'M3']	[0, 4]	[4, 8]
8	3.0	0.5	0.25	['E4']	[]	[0]	[4]
8	3.5	0.25	0.25	['F#4']	[]	[0]	[6]
9	1.0	1.0	1/6	['C#3', 'C#4', 'G#4']	['P8', 'P12', 'P5']	[0, 5]	[8, 1]
9	4/3	0.0625	1/6	['G#2', 'G#3', 'G#4']	['P8', 'P15']	[0]	[8]
