1	4.0	0.25	1.0	['G4']	[]	[0]	[7]
2	1.0	1.0	0.5	['E-2', 'E-3', 'E-4', 'G4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[3, 7]
2	1.5	0.125	0.5	['E-2', 'E-3', 'B-3', 'G4']	['P8', 'P12', 'M17', 'P5', 'M10', 'M6']	[0, 3, 7]	[3, 7, 10]
2	2.0	0.25	0.5	['E-2', 'E-3', 'E-4', 'G4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[3, 7]
2	2.5	0.125	0.5	['E-2', 'E-3', 'D4', 'B-4']	['P8', 'M14', 'P19', 'M7', 'P12', 'm6']	[0, 1, 5]	[10, 2, 3]
2	3.0	0.5	0.5	['E-2', 'E-3', 'C4', 'E-4']	['P8', 'M13', 'P15', 'M6', 'm3']	[0, 3]	[0, 3]
2	3.5	0.125	0.5	['E-2', 'E-3', 'G3', 'E-4']	['P8', 'M10', 'P15', 'M3', 'm6']	[0, 4]	[3, 7]
2	4.0	0.25	0.5	['E-2', 'E-3', 'C4', 'E-4', 'G4']	['P8', 'M13', 'P15', 'M17', 'M6', 'M10', 'm3', 'P5', 'M3']	[0, 3, 7]	[0, 3, 7]
2	4.5	0.125	0.5	['E-2', 'E-3', 'B-3', 'G4']	['P8', 'P12', 'M17', 'P5', 'M10', 'M6']	[0, 3, 7]	[3, 7, 10]
3	1.0	1.0	0.5	['E-2', 'A-3', 'C4']	['P11', 'M13', 'M3']	[0, 3, 7]	[8, 0, 3]
3	1.5	0.125	0.5	['E-2', 'E-3', 'C4']	['P8', 'M13', 'M6']	[0, 3]	[0, 3]
3	2.0	0.25	0.5	['E-2', 'A-3', 'C4']	['P11', 'M13', 'M3']	[0, 3, 7]	[8, 0, 3]
3	2.5	0.125	0.5	['E-2', 'F3', 'D4']	['M9', 'M14', 'M6']	[0, 1, 3]	[2, 3, 5]
3	3.0	0.5	0.5	['E-2', 'G3', 'E-4']	['M10', 'P15', 'm6']	[0, 4]	[3, 7]
3	3.5	0.125	0.5	['E-2', 'B-3', 'E-4']	['P12', 'P15', 'P4']	[0, 5]	[10, 3]
3	4.0	0.25	0.5	['E-2', 'E-3', 'G3', 'E-4']	['P8', 'M10', 'P15', 'M3', 'm6']	[0, 4]	[3, 7]
3	4.5	0.125	0.5	['D2', 'D3', 'B-3', 'F4']	['P8', 'm13', 'm17', 'm6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
4	1.0	1.0	0.5	['C2', 'C3', 'E-4', 'G4']	['P8', 'm17', 'P19', 'm10', 'P12', 'M3']	[0, 3, 7]	[0, 3, 7]
4	1.5	0.125	0.5	['C2', 'C3', 'D4', 'G4']	['P8', 'M16', 'P19', 'M9', 'P12', 'P4']	[0, 2, 7]	[0, 2, 7]
4	2.0	0.25	0.5	['E-2', 'E-3', 'C4', 'G4']	['P8', 'M13', 'M17', 'M6', 'M10', 'P5']	[0, 3, 7]	[0, 3, 7]
4	2.5	0.125	0.5	['E-2', 'E-3', 'C4', 'A4']	['P8', 'M13', 'A18', 'M6', 'A11']	[0, 3, 6]	[9, 0, 3]
4	3.0	0.5	0.5	['D2', 'D3', 'D4', 'B-4']	['P8', 'P15', 'm20', 'm13', 'm6']	[0, 4]	[10, 2]
4	3.5	0.125	0.5	['D2', 'D3', 'G4', 'B-4']	['P8', 'P18', 'm20', 'P11', 'm13', 'm3']	[0, 3, 7]	[7, 10, 2]
4	4.0	0.25	0.5	['D2', 'D3', 'C4', 'A4', 'B-4']	['P8', 'm14', 'P19', 'm20', 'm7', 'P12', 'm13', 'M6', 'm2']	[0, 1, 3, 5]	[9, 10, 0, 2]
4	4.5	0.125	0.5	['D2', 'D3', 'F#4', 'A4']	['P8', 'M17', 'P19', 'M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
4	1.0	1.0	1.0	['D2', 'D3']	['P8']	[0]	[2]
5	1.0	1.0	0.5	['B3', 'A-4']	['d7']	[0, 3]	[8, 11]
5	1.5	0.125	0.5	['F4', 'A-4']	['m3']	[0, 3]	[5, 8]
5	2.0	0.25	0.5	['C2', 'C3', 'C4', 'A-4']	['P8', 'P15', 'm20', 'm13', 'm6']	[0, 4]	[8, 0]
5	2.5	0.125	0.5	['C2', 'C3', 'F4', 'A-4']	['P8', 'P18', 'm20', 'P11', 'm13', 'm3']	[0, 3, 7]	[5, 8, 0]
5	3.0	0.5	0.5	['C-2', 'C-3', 'D-4', 'A-4']	['P8', 'M16', 'M20', 'M9', 'M13', 'P5']	[0, 2, 5]	[8, 11, 1]
5	3.5	0.125	0.5	['C-2', 'C-3', 'F4', 'A-4']	['P8', 'A18', 'M20', 'A11', 'M13', 'm3']	[0, 3, 6]	[5, 8, 11]
5	4.0	0.25	0.5	['B-1', 'B-2', 'D4', 'G4']	['P8', 'M17', 'M20', 'M10', 'M13', 'P4']	[0, 3, 7]	[7, 10, 2]
5	4.5	0.125	0.5	['B-1', 'B-2', 'A-3', 'F4']	['P8', 'm14', 'P19', 'm7', 'P12', 'M6']	[0, 2, 5]	[5, 8, 10]
5	1.0	1.0	2.0	['B-1', 'B-2']	['P8']	[0]	[10]
6	1.0	1.0	0.5	['E-4', 'G4']	['M3']	[0, 4]	[3, 7]
6	1.5	0.125	0.5	['G3', 'G4']	['P8']	[0]	[7]
6	2.0	0.25	0.5	['E-4', 'G4']	['M3']	[0, 4]	[3, 7]
6	2.5	0.125	0.5	['D4', 'B-4']	['m6']	[0, 4]	[10, 2]
6	3.0	0.5	0.5	['E-3', 'C4', 'E-4']	['M6', 'P8', 'm3']	[0, 3]	[0, 3]
6	3.5	0.125	0.5	['E-3', 'G3', 'E-4']	['M3', 'P8', 'm6']	[0, 4]	[3, 7]
6	4.0	0.25	0.5	['E-3', 'C4', 'E-4']	['M6', 'P8', 'm3']	[0, 3]	[0, 3]
6	4.5	0.125	0.5	['E-3', 'B-3', 'G4']	['P5', 'M10', 'M6']	[0, 3, 7]	[3, 7, 10]
7	1.0	1.0	0.5	['E-2', 'A-3', 'C4']	['P11', 'M13', 'M3']	[0, 3, 7]	[8, 0, 3]
7	1.5	0.125	0.5	['E-2', 'E-3', 'C4']	['P8', 'M13', 'M6']	[0, 3]	[0, 3]
7	2.0	0.25	0.5	['E-2', 'A-3', 'C4']	['P11', 'M13', 'M3']	[0, 3, 7]	[8, 0, 3]
7	2.5	0.125	0.5	['E-2', 'F3', 'D4']	['M9', 'M14', 'M6']	[0, 1, 3]	[2, 3, 5]
7	3.0	0.5	0.5	['E-2', 'G3', 'E-4']	['M10', 'P15', 'm6']	[0, 4]	[3, 7]
7	3.5	0.125	0.5	['E-2', 'B-3', 'E-4']	['P12', 'P15', 'P4']	[0, 5]	[10, 3]
7	4.0	0.25	0.5	['E-2', 'E-3', 'G3', 'E-4']	['P8', 'M10', 'P15', 'M3', 'm6']	[0, 4]	[3, 7]
7	4.5	0.125	0.5	['D2', 'D3', 'B-3', 'F4']	['P8', 'm13', 'm17', 'm6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
8	1.0	1.0	0.5	['C2', 'C3', 'E-4', 'G4']	['P8', 'm17', 'P19', 'm10', 'P12', 'M3']	[0, 3, 7]	[0, 3, 7]
8	1.5	0.125	0.5	['C2', 'C3', 'D4', 'G4']	['P8', 'M16', 'P19', 'M9', 'P12', 'P4']	[0, 2, 7]	[0, 2, 7]
8	2.0	0.25	0.5	['E-2', 'E-3', 'C4', 'G4']	['P8', 'M13', 'M17', 'M6', 'M10', 'P5']	[0, 3, 7]	[0, 3, 7]
8	2.5	0.125	0.5	['E-2', 'E-3', 'F4', 'A4']	['P8', 'M16', 'A18', 'M9', 'A11', 'M3']	[0, 2, 6]	[3, 5, 9]
8	3.0	0.5	0.5	['D2', 'D3', 'B-3', 'F4', 'B-4']	['P8', 'm13', 'm17', 'm20', 'm6', 'm10', 'P5', 'P4']	[0, 3, 7]	[10, 2, 5]
8	3.5	0.125	0.5	['D2', 'D3', 'B-3', 'F4', 'B-4']	['P8', 'm13', 'm17', 'm20', 'm6', 'm10', 'P5', 'P4']	[0, 3, 7]	[10, 2, 5]
8	4.0	0.25	0.5	['E-2', 'E-3', 'B3', 'G4', 'D5']	['P8', 'A12', 'M17', 'M21', 'A5', 'M10', 'M14', 'm6', 'm10', 'P5']	[0, 1, 4, 8]	[7, 11, 2, 3]
8	4.5	0.125	0.5	['E-2', 'E-3', 'C4', 'C5']	['P8', 'M13', 'M20', 'M6']	[0, 3]	[0, 3]
9	1.0	1.0	0.5	['F2', 'F3', 'D4', 'B-4']	['P8', 'M13', 'P18', 'M6', 'P11', 'm6']	[0, 3, 7]	[10, 2, 5]
9	1.5	0.125	0.5	['F2', 'F3', 'F4', 'B-4']	['P8', 'P15', 'P18', 'P11', 'P4']	[0, 5]	[5, 10]
9	2.0	0.25	0.5	['F1', 'F2', 'C4', 'A4', 'B-4']	['P8', 'P19', 'M24', 'P25', 'P12', 'M17', 'P18', 'M6', 'm7', 'm2']	[0, 2, 3, 7]	[5, 9, 10, 0]
9	2.5	0.125	0.5	['F1', 'F2', 'F4', 'A4']	['P8', 'P22', 'M24', 'P15', 'M17', 'M3']	[0, 4]	[5, 9]
9	3.0	0.5	0.5	['B-1', 'B-2', 'D4', 'B-4']	['P8', 'M17', 'P22', 'M10', 'P15', 'm6']	[0, 4]	[10, 2]
9	3.5	0.125	0.5	['B-1', 'B-2', 'B-3', 'B-4']	['P8', 'P15', 'P22']	[0]	[10]
9	4.0	0.25	0.5	['F3']	[]	[0]	[5]
9	4.5	0.125	0.5	['D3', 'B-4']	['m13']	[0, 4]	[10, 2]
10	1.0	1.0	0.5	['A-2', 'B-2', 'B-4']	['M2', 'M16', 'P15']	[0, 2]	[8, 10]
10	1.5	0.125	0.5	['A-2', 'D3', 'B-4']	['A4', 'M16', 'm13']	[0, 2, 6]	[8, 10, 2]
10	2.0	0.25	0.5	['A-2', 'F3', 'B-4']	['M6', 'M16', 'P11']	[0, 2, 5]	[5, 8, 10]
10	2.5	0.125	0.5	['A-2', 'B-3', 'D4']	['M9', 'A11', 'M3']	[0, 2, 6]	[8, 10, 2]
10	3.0	0.5	0.5	['G2', 'B-2', 'E-4']	['m3', 'm13', 'P11']	[0, 3, 7]	[3, 7, 10]
10	3.5	0.125	0.5	['G2', 'D3', 'E-4']	['P5', 'm13', 'm9']	[0, 1, 5]	[2, 3, 7]
10	4.0	0.25	0.5	['G2', 'F3', 'F4']	['m7', 'm14', 'P8']	[0, 2]	[5, 7]
10	4.5	0.125	0.5	['G2', 'B-3', 'G4']	['m10', 'P15', 'M6']	[0, 3]	[7, 10]
11	1.0	1.0	0.5	['F2', 'F3', 'C4', 'A-4']	['P8', 'P12', 'm17', 'P5', 'm10', 'm6']	[0, 3, 7]	[5, 8, 0]
11	1.5	0.125	0.5	['F2', 'F3', 'E-4', 'A-4']	['P8', 'm14', 'm17', 'm7', 'm10', 'P4']	[0, 2, 5]	[3, 5, 8]
11	2.0	0.25	0.5	['B-2', 'D4', 'A-4']	['M10', 'm14', 'd5']	[0, 2, 6]	[8, 10, 2]
11	2.5	0.125	0.5	['B-2', 'F4', 'A-4']	['P12', 'm14', 'm3']	[0, 2, 5]	[5, 8, 10]
11	3.0	0.5	0.5	['E-2', 'E-4', 'G4']	['P15', 'M17', 'M3']	[0, 4]	[3, 7]
11	3.5	0.125	0.5	['E-2', 'B-3', 'G4']	['P12', 'M17', 'M6']	[0, 3, 7]	[3, 7, 10]
11	4.0	0.25	0.5	['G3']	[]	[0]	[7]
11	4.5	0.125	0.5	['E-3', 'B-4']	['P12']	[0, 5]	[10, 3]
12	1.0	1.0	0.5	['A-2', 'B-2', 'B-4']	['M2', 'M16', 'P15']	[0, 2]	[8, 10]
12	1.5	0.125	0.5	['A-2', 'D3', 'B-4']	['A4', 'M16', 'm13']	[0, 2, 6]	[8, 10, 2]
12	2.0	0.25	0.5	['A-2', 'F3', 'D4']	['M6', 'A11']	[0, 3, 6]	[2, 5, 8]
12	2.5	0.125	0.5	['A-2', 'B-3', 'D4']	['M9', 'A11', 'M3']	[0, 2, 6]	[8, 10, 2]
12	3.0	0.5	0.5	['G2', 'B-2', 'E-4']	['m3', 'm13', 'P11']	[0, 3, 7]	[3, 7, 10]
12	3.5	0.125	0.5	['G2', 'E-3', 'E-4']	['m6', 'm13', 'P8']	[0, 4]	[3, 7]
12	4.0	0.25	0.5	['G2', 'G3', 'F4']	['P8', 'm14', 'm7']	[0, 2]	[5, 7]
12	4.5	0.125	0.5	['G2', 'B-3', 'G4']	['m10', 'P15', 'M6']	[0, 3]	[7, 10]
13	1.0	1.0	0.5	['F2', 'D-4', 'A-4']	['m13', 'm17', 'P5']	[0, 3, 7]	[1, 5, 8]
13	1.5	0.125	0.5	['F2', 'F4', 'A-4']	['P15', 'm17', 'm3']	[0, 3]	[5, 8]
13	2.0	0.25	0.5	['G2', 'E-4', 'B-4']	['m13', 'm17', 'P5']	[0, 3, 7]	[3, 7, 10]
13	2.5	0.125	0.5	['G2', 'D-4', 'B-4']	['d12', 'm17', 'M6']	[0, 3, 6]	[7, 10, 1]
13	3.0	0.5	0.5	['A-2', 'D-4', 'E-4']	['P11', 'P12', 'M2']	[0, 2, 7]	[1, 3, 8]
13	3.5	0.125	0.5	['A-2', 'C4', 'E-4']	['M10', 'P12', 'm3']	[0, 3, 7]	[8, 0, 3]
13	4.0	0.25	0.5	['A-2', 'B-3', 'E-4']	['M9', 'P12', 'P4']	[0, 2, 7]	[8, 10, 3]
13	4.5	0.125	0.5	['A-2', 'A-3', 'E-4']	['P8', 'P12', 'P5']	[0, 5]	[3, 8]
14	1.0	1.0	0.5	['A-2', 'E-3', 'E-4']	['P5', 'P12', 'P8']	[0, 5]	[3, 8]
14	1.5	0.125	0.5	['A-2', 'A-3', 'E-4']	['P8', 'P12', 'P5']	[0, 5]	[3, 8]
14	2.0	0.25	0.5	['A-2', 'C4', 'E-4']	['M10', 'P12', 'm3']	[0, 3, 7]	[8, 0, 3]
14	2.5	0.125	0.5	['A-2', 'E-4']	['P12']	[0, 5]	[3, 8]
14	3.0	0.5	0.5	['A-2', 'E-3', 'C5']	['P5', 'M17', 'M13']	[0, 3, 7]	[8, 0, 3]
14	3.5	0.125	0.5	['A-2', 'E-4', 'C5']	['P12', 'M17', 'M6']	[0, 3, 7]	[8, 0, 3]
14	4.0	0.25	0.5	['B-2', 'E-3', 'E-4', 'B-4']	['P4', 'P11', 'P15', 'P8', 'P12', 'P5']	[0, 5]	[10, 3]
14	4.5	0.125	0.5	['B-2', 'E-4', 'B-4']	['P11', 'P15', 'P5']	[0, 5]	[10, 3]
15	1.0	1.0	0.5	['C3', 'E-3', 'B-4']	['m3', 'm14', 'P12']	[0, 2, 5]	[10, 0, 3]
15	1.5	0.125	0.5	['C3', 'A-3', 'B-4']	['m6', 'm14', 'M9']	[0, 2, 4]	[8, 10, 0]
15	2.0	0.25	0.5	['C3', 'C4', 'A-4']	['P8', 'm13', 'm6']	[0, 4]	[8, 0]
15	2.5	0.125	0.5	['C3', 'E-4', 'A-4']	['m10', 'm13', 'P4']	[0, 3, 7]	[8, 0, 3]
15	3.0	0.5	0.5	['C3', 'E-3', 'A-4']	['m3', 'm13', 'P11']	[0, 3, 7]	[8, 0, 3]
15	3.5	0.125	0.5	['C3', 'E-4', 'A-4']	['m10', 'm13', 'P4']	[0, 3, 7]	[8, 0, 3]
15	4.0	0.25	0.5	['B-2', 'E-3', 'G4']	['P4', 'M13', 'M10']	[0, 3, 7]	[3, 7, 10]
15	4.5	0.125	0.5	['B-2', 'E-4', 'G4']	['P11', 'M13', 'M3']	[0, 3, 7]	[3, 7, 10]
16	1.0	1.0	0.5	['A-2', 'E-3', 'F4']	['P5', 'M13', 'M9']	[0, 2, 5]	[3, 5, 8]
16	1.5	0.125	0.5	['A-2', 'F3', 'F4']	['M6', 'M13', 'P8']	[0, 3]	[5, 8]
16	2.0	0.25	0.5	['A-2', 'C4', 'F4']	['M10', 'M13', 'P4']	[0, 3, 7]	[5, 8, 0]
16	2.5	0.125	0.5	['A-2', 'E-4', 'F4']	['P12', 'M13', 'M2']	[0, 2, 5]	[3, 5, 8]
16	3.0	0.5	0.5	['A2', 'E-3', 'G-4']	['d5', 'd14', 'm10']	[0, 3, 6]	[3, 6, 9]
16	3.5	0.125	0.5	['A2', 'E-3', 'C4', 'G-4']	['d5', 'm10', 'd14', 'M6']	[0, 3, 6, 9]	[0, 3, 6, 9]
16	4.0	0.25	0.5	['A2', 'F3', 'C4', 'F4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[5, 9, 0]
16	4.5	0.125	0.5	['A2', 'G-3', 'C4', 'E-4']	['d7', 'm10', 'd12', 'A4', 'M6', 'm3']	[0, 3, 6, 9]	[0, 3, 6, 9]
17	1.0	1.0	0.5	['B-2', 'F3', 'D4', 'B-4']	['P5', 'M10', 'P15', 'M6', 'P11', 'm6']	[0, 3, 7]	[10, 2, 5]
17	1.5	0.125	0.5	['B-2', 'F3', 'D4', 'B-4', 'B4']	['P5', 'M10', 'P15', 'A15', 'M6', 'P11', 'A11', 'm6', 'A1']	[0, 1, 4, 7]	[10, 11, 2, 5]
17	2.0	0.25	0.5	['B-3', 'B-4', 'C5']	['P8', 'M9', 'M2']	[0, 2]	[10, 0]
17	2.5	0.125	0.5	['B3', 'G4', 'B-4']	['m6', 'd8', 'm3']	[0, 1, 4]	[7, 10, 11]
17	3.0	0.5	0.5	['C4', 'A-4']	['m6']	[0, 4]	[8, 0]
17	3.5	0.125	0.5	['G3', 'E4']	['M6']	[0, 3]	[4, 7]
17	4.0	0.25	0.5	['A-3', 'D4', 'F4']	['A4', 'M6', 'm3']	[0, 3, 6]	[2, 5, 8]
17	4.5	0.125	0.5	['B-2', 'D4', 'F#4']	['M10', 'A12', 'M3']	[0, 4, 8]	[2, 6, 10]
18	1.0	1.0	0.5	['E-2', 'E-3', 'E-4', 'G4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[3, 7]
18	1.5	0.125	0.5	['E-2', 'E-3', 'B-3', 'G4']	['P8', 'P12', 'M17', 'P5', 'M10', 'M6']	[0, 3, 7]	[3, 7, 10]
18	2.0	0.25	0.5	['E-2', 'E-3', 'E-4', 'G4']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[3, 7]
