1	1.0	1.0	1.5	['B4']	[]	[0]	[11]
1	2.5	0.125	0.5	['E4', 'B4']	['P5']	[0, 5]	[11, 4]
1	3.0	0.5	1.5	['E4', 'B4']	['P5']	[0, 5]	[11, 4]
1	4.5	0.125	0.5	['E4', 'B4']	['P5']	[0, 5]	[11, 4]
1	1.0	1.0	2.0	['E4']	[]	[0]	[4]
2	1.0	1.0	1.5	['B3', 'E4', 'B4']	['P4', 'P8', 'P5']	[0, 5]	[11, 4]
2	2.5	0.125	0.5	['B3', 'E4', 'F#4', 'B4']	['P4', 'P5', 'P8', 'M2']	[0, 2, 7]	[4, 6, 11]
2	3.0	0.5	1.5	['E3', 'E4', 'G4']	['P8', 'm10', 'm3']	[0, 3]	[4, 7]
2	4.5	0.125	0.5	['E3', 'E4', 'G4']	['P8', 'm10', 'm3']	[0, 3]	[4, 7]
2	1.0	1.0	2.0	['G4']	[]	[0]	[7]
3	1.0	1.0	1.0	['E3', 'E4', 'G4']	['P8', 'm10', 'm3']	[0, 3]	[4, 7]
3	2.0	0.25	0.5	['E3', 'E4', 'G4']	['P8', 'm10', 'm3']	[0, 3]	[4, 7]
3	2.5	0.125	0.5	['E3', 'F#3', 'E4', 'G4']	['M2', 'P8', 'm10', 'm7', 'm9', 'm3']	[0, 1, 3]	[4, 6, 7]
3	3.0	0.5	1.5	['A2', 'G3', 'E4', 'C5']	['m7', 'P12', 'm17', 'M6', 'P11', 'm6']	[0, 3, 5, 8]	[4, 7, 9, 0]
3	4.5	0.125	0.5	['A2', 'G3', 'E4', 'C5']	['m7', 'P12', 'm17', 'M6', 'P11', 'm6']	[0, 3, 5, 8]	[4, 7, 9, 0]
4	1.0	1.0	1.5	['B2', 'F#3', 'D#4', 'B4']	['P5', 'M10', 'P15', 'M6', 'P11', 'm6']	[0, 3, 7]	[11, 3, 6]
4	2.5	0.125	0.5	['B2', 'F#3', 'D#4', 'B4']	['P5', 'M10', 'P15', 'M6', 'P11', 'm6']	[0, 3, 7]	[11, 3, 6]
4	3.0	0.5	1.5	['E2', 'E3', 'E4', 'G4']	['P8', 'P15', 'm17', 'm10', 'm3']	[0, 3]	[4, 7]
4	4.5	0.125	0.5	['E2', 'E3', 'E4', 'G4']	['P8', 'P15', 'm17', 'm10', 'm3']	[0, 3]	[4, 7]
4	1.0	1.0	7.5	['E3']	[]	[0]	[4]
