1	1.0	1.0	1.5	['C3', 'G3', 'C4', 'E4', 'G4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
1	2.5	0.25	0.5	['C3', 'G3', 'C4', 'E4', 'G4', 'E5']	['P5', 'P8', 'M10', 'P12', 'M17', 'P4', 'M6', 'M13', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
1	3.0	0.5	0.5	['C3', 'G3', 'C4', 'E4', 'G4', 'D5']	['P5', 'P8', 'M10', 'P12', 'M16', 'P4', 'M6', 'M3', 'M9', 'm3', 'm7']	[0, 2, 4, 7]	[0, 2, 4, 7]
1	3.5	0.25	0.5	['C3', 'G3', 'C4', 'E4', 'G4', 'C5']	['P5', 'P8', 'M10', 'P12', 'P15', 'P4', 'M6', 'P11', 'M3', 'm3', 'm6']	[0, 3, 7]	[0, 4, 7]
2	1.0	1.0	0.75	['D3', 'G3', 'B3', 'F4', 'G4']	['P4', 'M6', 'm10', 'P11', 'M3', 'm7', 'P8', 'd5', 'm6', 'M2']	[0, 2, 5, 8]	[11, 2, 5, 7]
2	1.75	0.125	0.125	['D3', 'G3', 'B3', 'F4', 'B4']	['P4', 'M6', 'm10', 'M13', 'M3', 'm7', 'M10', 'd5', 'P8', 'A4']	[0, 2, 5, 8]	[11, 2, 5, 7]
2	1.88	0.0625	0.125	['D3', 'G3', 'B3', 'F4', 'A4']	['P4', 'M6', 'm10', 'P12', 'M3', 'm7', 'M9', 'd5']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
2	2.0	0.5	1.0	['D3', 'G3', 'B3', 'F4', 'G4']	['P4', 'M6', 'm10', 'P11', 'M3', 'm7', 'P8', 'd5', 'm6', 'M2']	[0, 2, 5, 8]	[11, 2, 5, 7]
2	3.0	0.5	0.75	['D3', 'G3', 'B3', 'F4', 'G4']	['P4', 'M6', 'm10', 'P11', 'M3', 'm7', 'P8', 'd5', 'm6', 'M2']	[0, 2, 5, 8]	[11, 2, 5, 7]
2	3.75	0.125	0.25	['D3', 'G3', 'B3', 'F4', 'G4']	['P4', 'M6', 'm10', 'P11', 'M3', 'm7', 'P8', 'd5', 'm6', 'M2']	[0, 2, 5, 8]	[11, 2, 5, 7]
